	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp	condition_verbose	inv_RT	ortho_center	phono_center
12373	116	90	8	70	1.0	8	训	迅	训	迅	1	3	phon_sim	0	1	3.7087	2.776	2.2355	1.5315	1	11050	迅	训	1	R	1	R	1264	1	0	0	O-P+	-0.7911392405063291	-0.5	0.5
12390	116	92	8	93	1.0	8	棋	痒	下棋	下痒	2	4	both_dif	0	0	2.8228	2.8035	1.9823	0.0	1	10532	下痒	下棋	1	R	1	R	1010	1	0	0	O-P-	-0.9900990099009901	-0.5	-0.5
12396	116	93	4	11	1.0	4	温	汰	温度	汰度	2	4	both_dif	0	0	3.6838	3.4168	2.6304	0.0	1	10950	汰度	温度	1	R	1	R	589	1	1	1	O-P-	-1.697792869269949	-0.5	-0.5
12408	116	94	7	90	1.0	7	岗	港	岗	港	1	3	phon_sim	0	1	2.7832	3.0948	2.0792	2.6096	1	8150	港	岗	0	L	0	L	716	1	1	1	O-P+	-1.3966480446927374	-0.5	0.5
12413	116	95	3	14	1.0	3	宛	苑	宛如	苑如	2	1	both_sim	1	1	2.1399	1.9731	1.699	0.0	1	7434	苑如	宛如	0	L	0	L	1327	1	1	1	O+P+	-0.7535795026375283	0.5	0.5
12434	117	1	10	8	1.0	10	柱	淹	天柱,	天淹	3	4	both_dif	0	0	2.7412	2.7731	0.0	0.0	1	15950	天淹,	天柱,	0	L	0	L	843	1	0	0	O-P-	-1.1862396204033214	-0.5	-0.5
12445	117	2	7	66	1.0	7	文	烷	作文	作烷	2	3	phon_sim	0	1	4.1522	2.1367	1.7993	0.0	1	9483	作烷	作文	1	R	1	R	738	1	1	1	O-P+	-1.3550135501355014	-0.5	0.5
12450	117	3	3	13	1.0	3	殃	秧	殃及	秧及	2	1	both_sim	1	1	2.0569	1.0792	1.3222	0.0	1	6767	秧及	殃及	0	L	0	L	1053	1	1	1	O+P+	-0.949667616334283	0.5	0.5
12463	117	4	10	4	1.0	10	秘	秧	秘密	秧密	2	2	orth_sim	1	0	3.9054	1.0792	3.6991	0.0	1	19666	秧密	秘密	1	R	1	R	1326	1	1	1	O+P-	-0.7541478129713424	0.5	-0.5
12490	117	8	10	25	1.0	10	枉	狙	冤枉,	冤狙	3	4	both_dif	0	0	2.2041	2.6875	0.0	0.0	1	17450	冤狙,	冤枉,	0	L	0	L	1095	1	0	0	O-P-	-0.91324200913242	-0.5	-0.5
