	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp
2769	104	51	8	75	1.0	8	唯	准	唯唯诺诺。	准准诺诺	5.0	2	orth_sim	1	0	3.9755	4.4813	0.0	0.0	1	11267	准准诺诺。	唯唯诺诺。	1	R	1	R	2064.45	1	0	0
2775	104	52	5	73	1.0	5	噪	赵	很大	赵音	2.0	3	phon_sim	0	1	2.6902	2.1038	0.0	0.0	1	7300	一次	很大	1	R	1	R	780.16	1	1	1
2786	104	53	9	35	1.0	9	健	键	健身	键身	2.0	1	both_sim	1	1	3.6176	3.4532	2.6675	0.0	1	19650	键身.	健身.	0	L	0	L	1095.61	1	1	1
2793	104	54	6	95	1.0	6	守	臃	守	臃	1.0	4	both_dif	0	0	3.7948	1.3617	3.0997	0.0	1	16317	臃	守	1	R	1	R	1074.48	1	0	0
2805	104	55	7	24	1.0	7	中	锿	中间	锿间	2.0	4	both_dif	0	0	4.8435	0.301	3.2025	0.0	1	11633	锿间	中间	0	L	0	L	1074.4	1	1	1
2814	104	56	7	56	1.0	7	仪	仗	投影	仗	2.0	2	orth_sim	1	0	3.3851	2.9201	1.301	2.4265	1	10217	由于	投影	1	R	1	R	822.87	1	1	1
2823	104	57	7	81	1.0	7	持	主	的	主匙人	1.0	3	phon_sim	0	1	4.2381	4.4568	6.226	0.0	1	16350	月	的	1	R	1	R	759.17	1	1	1
2831	104	58	6	92	1.0	6	思	施	思念	施念	2.0	3	phon_sim	0	1	4.5423	3.5138	2.2148	0.0	1	13866	施念	思念	1	R	1	R	864.69	1	1	1
2838	104	59	5	68	1.0	5	挤	侪	挤	侪	1.0	2	orth_sim	1	0	3.1578	0.0	2.9528	0.0	1	10117	侪	挤	0	L	0	L	653.34	1	1	1
2850	104	60	8	7	1.0	8	抬	荫	抬	荫	1.0	4	both_dif	0	0	3.1749	1.959	3.0212	1.301	1	31650	荫	抬	0	L	0	L	1180.24	1	0	0
2861	104	61	6	44	1.0	6	蹭	噌	蹭	噌	1.0	1	both_sim	1	1	2.4609	1.1139	2.1523	1.1139	1	10283	噌	蹭	0	L	0	L	1033.51	1	1	1
2869	104	62	5	66	1.0	5	椅	倚	把	倚子	1.0	1	both_sim	1	1	3.3255	1.9294	5.0953	0.0	1	10950	很	把	0	L	0	L	484.74	1	0	0
2873	104	63	2	48	1.0	2	促	剜	可以	剜进	2.0	4	both_dif	0	0	2.8261	0.9542	4.8987	0.0	1	9683	其次	可以	1	R	1	R	843.87	1	1	1
2884	104	64	6	18	1.0	6	缉	缘	成为	缘	2.0	2	orth_sim	1	0	2.8274	3.2175	4.0016	2.2504	1	16916	最大	成为	1	R	1	R	1664.72	1	1	1
2899	104	65	11	29	1.0	11	提	剔	提	剔	1.0	3	phon_sim	0	1	4.3807	2.4942	3.7229	1.6232	1	18450	剔	提	0	L	0	L	864.31	1	0	0
2907	104	66	5	9	1.0	5	唱	障	唱歌	障歌	2.0	3	phon_sim	0	1	4.0763	3.3199	3.2017	0.0	1	8267	障歌.	唱歌.	0	L	0	L	843.86	1	0	0
2915	104	67	7	74	1.0	7	溪	演	溪流	演流	2.0	2	orth_sim	1	0	2.5079	4.3687	1.2553	0.0	1	14000	演流	溪流	0	L	0	L	1158.75	1	1	1
2926	104	68	8	63	1.0	8	搪	鹬	搪塞	鹬塞	2.0	4	both_dif	0	0	1.716	0.9542	1.5315	0.0	1	13116	鹬塞	搪塞	1	R	1	R	970.14	1	0	0
2933	104	69	5	91	1.0	5	铝	侣	要用	侣	2.0	1	both_sim	1	1	2.0828	2.9474	0.0	1.5051	1	10584	立即	要用	0	L	0	L	717.19	1	1	1
2946	104	70	10	38	1.0	10	憎	铛	憎恶。	铛恶	3.0	3	phon_sim	0	1	2.7067	2.2095	0.0	0.0	1	18133	铛恶。	憎恶。	0	L	0	L	1328.52	1	1	1
