Both sim:	职	zhi2	Score: 69.3244	2.8859
Ortho sim:	秧	yang1	Score: 68.6407	0.301
Phono sim:	几	ji1	Score: 95.2941	4.3508
Both diff:	艳	yan4	Score: 75.5018	2.6609

Critical:	娥	e2	Aggregate: 7.420255983596503	1.301
Both sim:	哦	e2	Score: 88.2353	4.8412
Ortho sim:	娟	juan1	Score: 61.0814	1.7924
Phono sim:	厄	e4	Score: 92.5345	2.7101
Both diff:	恍	huang3	Score: 81.6753	0.8451

Critical:	鸦	ya1	Aggregate: 7.601231786809819	1.0792
Both sim:	鸭	ya1	Score: 75.8824	2.3284
Ortho sim:	鸿	hong2	Score: 63.8457	0.9542
Phono sim:	丫	ya1	Score: 97.6471	2.2068
Both diff:	胫	jing4	Score: 79.809	1.0

Critical:	蔫	nian1	Aggregate: 7.322851525886477	1.1461
Both sim:	蔓	man2	Score: 74.7176	1.7853
Ortho sim:	蔚	yu4	Score: 60.0753	1.4314
Phono sim:	拈	nian1	Score: 94.9777	1.301
Both diff:	疫	yi4	Score: 74.923	1.2041

Critical:	距	ju4	Aggregate: 6.36749290205727	2.3139
Both sim:	巨	ju4	Score: 84.7059	2.5211
Ortho sim:	央	yang1	Score: 61.4356	1.7709
Phono sim:	剧	ju4	Score: 100.0	2.9877
Both diff:	颜	yan2	Score: 76.5866	2.0755

Critical:	巨	ju4	Aggregate: 6.080144935505218	2.5211
Both sim:	拒	ju4	Score: 84.7059	2.2989
Ortho sim:	央	yang1	Score: 61.4356	1.7709
Phono sim:	足	ju4	Score: 100.0	2.8109
Both diff:	顽	wan2	Score: 74.5296	0.8451

Critical:	拒	ju4	Aggregate: 7.073445134085148	2.2989
Both sim:	巨	ju4	Score: 84.7059	2.5211
Ortho sim:	央	yang1	Score: 61.4356	1.7709
Phono sim:	剧	ju4	Score: 100.0	2.9877
Both diff:	剜	wan1	Score: 85.3212	0.9542

Critical:	芬	fen1	Aggregate: 6.615405994831345	2.6128
Both sim:	芯	xin1	Score: 68.3789	1.3424
Ortho sim:	芸	yi4	Score: 62.7694	0.4771
Phono sim:	珍	zhen1	Score: 94.0943	2.4669
Both diff:	揠	ya4	Score: 69.9044	0.301

Critical:	喃	nan2	Aggregate: 6.274300766160048	0.7782
Both sim:	楠	nan2	Score: 73.9607	1.2788
Ortho sim:	喻	yu4	Score: 58.65	1.7924
Phono sim:	囡	nan1	Score: 93.3261	0.301
Both diff:	浴	yu4	Score: 66.093	2.5172

Critical:	秩	zhi4	Aggregate: 8.0519072124958	0.0
Both sim:	秘	mi4	Score: 69.5734	2.3541
Ortho sim:	秧	yang1	Score: 70.769	0.301
Phono sim:	掷	zhi4	Score: 95.1743	2.1584
Both diff:	网	wang3	Score: 75.8425	2.9133

Critical:	搡	sang3	Aggregate: 7.589923850137068	1.3979
Both sim:	搪	tang2	Score: 74.6734	0.301
Ortho sim:	揖	yi1	Score: 62.5436	0.301
Phono sim:	档	dang3	Score: 94.8734	2.8306
Both diff:	屹	yi4	Score: 79.3811	0.0

Critical:	维	wei2	Aggregate: 6.56196707116141	3.1261
Both sim:	唯	wei2	Score: 88.2353	3.0948
Ortho sim:	综	zeng4	Score: 61.286	0.7782
Phono sim:	为	wei2	Score: 98.3957	4.6586
Both diff:	衷	zhong1	Score: 79.4556	1.0792

Critical:	噪	zao4	Aggregate: 6.893929381827796	1.415
Both sim:	燥	zao4	Score: 74.4364	1.6021
Ortho sim:	嘤	ying1	Score: 62.2813	1.1139
Phono sim:	赵	zhao4	Score: 97.2627	1.7709
Both diff:	音	yin1	Score: 73.7846	2.9025

Critical:	嘎	ga2	Aggregate: 6.979484192932864	2.1303
Both sim:	嗨	hai1	Score: 69.0044	4.4037
Ortho sim:	嘤	ying1	Score: 60.3578	1.1139
Phono sim:	钆	ga2	Score: 92.8247	0.301
Both diff:	用	yong4	Score: 72.6307	4.7196

Critical:	吠	fei4	Aggregate: 6.992314904158707	1.9823
Both sim:	呗	bai4	Score: 79.9989	2.5224
Ortho sim:	听	yin3	Score: 56.7134	4.7395
Phono sim:	废	fei4	Score: 92.1218	2.5263
Both diff:	臃	yong1	Score: 77.6957	0.0

Critical:	殃	yang1	Aggregate: 7.150486700803478	0.7782
Both sim:	秧	yang1	Score: 75.8824	0.301
Ortho sim:	炽	chi4	Score: 60.7659	1.0792
Phono sim:	洋	yang2	Score: 90.5483	2.2967
Both diff:	济	ji4	Score: 85.8846	2.0453

Critical:	健	jian4	Aggregate: 7.157405793827518	2.5635
Both sim:	倦	juan4	Score: 86.3689	1.301
Ortho sim:	倚	yi3	Score: 61.9297	1.3222
Phono sim:	剑	jian4	Score: 100.0	3.0199
Both diff:	医	yi1	Score: 84.3812	2.5527

Critical:	守	shou3	Aggregate: 6.955109004568432	3.0997
Both sim:	导	dao3	Score: 78.0041	2.29
Ortho sim:	安	an1	Score: 62.0532	3.2398
Phono sim:	陡	dou3	Score: 96.4788	1.3979
Both diff:	臃	yong1	Score: 72.06	0.0

Critical:	仲	zhong4	Aggregate: 6.953044947862013	1.1761
Both sim:	中	zhong1	Score: 73.5077	4.5424
Ortho sim:	伪	wei3	Score: 68.3326	1.6628
Phono sim:	郑	zheng4	Score: 96.6177	1.5798
Both diff:	锿	ai1	Score: 88.2037	0.301

Critical:	喹	kui2	Aggregate: 7.005124115197699	0.4771
Both sim:	喙	hui4	Score: 77.8735	1.3617
Ortho sim:	嘤	ying1	Score: 60.0704	1.1139
Phono sim:	魁	kui2	Score: 97.2851	1.5051
Both diff:	珥	er3	Score: 74.8269	0.7782

Critical:	倜	ti4	Aggregate: 6.945765347122744	0.8451
Both sim:	倍	bei4	Score: 78.2209	3.1667
Ortho sim:	俺	an3	Score: 59.9181	2.017
Phono sim:	剃	ti4	Score: 100.0	2.4216
Both diff:	剜	wan1	Score: 79.9326	0.9542

Critical:	旺	wang4	Aggregate: 6.980219396767936	2.0128
Both sim:	枉	wang3	Score: 84.5026	1.5563
Ortho sim:	玆	zi1	Score: 59.0895	1.2788
Phono sim:	亡	wang2	Score: 87.2404	2.3927
Both diff:	疽	ju1	Score: 89.2315	1.3802

Critical:	仪	yi2	Aggregate: 7.053861820526183	2.5105
Both sim:	义	yi4	Score: 71.9463	2.4116
Ortho sim:	仗	zhang4	Score: 74.6626	2.4265
Phono sim:	颐	yi2	Score: 98.0392	1.4314
Both diff:	眶	kuang4	Score: 92.3438	1.0

Critical:	持	chi2	Aggregate: 6.775735401949486	2.5224
